POINT_1_STREET,DURATION_IN_SEC,POINT_1_NAME,POINT_1_CITY,POINT_2_NAME,POINT_2_LNG,POINT_2_STREET,NDT_IN_KMH,POINT_2_POSTAL_CODE,POINT_2_COUNTRY,POINT_1_STREET_NUMBER,ORGANISATION,POINT_1_LAT,POINT_2_LAT,POINT_1_POSTAL_CODE,POINT_2_STREET_NUMBER,POINT_2_CITY,extID,ROAD_TYPE,POINT_1_LNG,REPORT_ID,POINT_1_COUNTRY,DISTANCE_IN_METERS,REPORT_NAME,RBA_ID,_id
Søftenvej,77,4364,Aarhus,4349,10.161038385250095,Søftenvej,70,8200,Denmark,0,COWI,56.2149789163549,56.20852026816215,8200,0,Aarhus,179,MAJOR_ROAD,10.13969570304107,158895,Denmark,1505,AAR_BT_0020 4364 4349,161062,1586
Grenåvej,65,4582,Risskov,4581,10.21908612268453,Grenåvej,44,8240,Denmark,126,COWI,56.186546268439095,56.19369241581476,8240,126,Risskov,194,MAJOR_ROAD,10.218303812914883,178600,Denmark,797,AAR_BT_0101 4582 4581,178660,1601
Skanderborgvej,84,3987,Aarhus,2651,10.157658842922274,Viby Ringvej,35,8260,Denmark,168,COWI,56.131053962866226,56.13203209461566,8260,168,Aarhus,324,MAJOR_ROAD,10.166163050262412,187509,Denmark,823,AAR_BT_0231 3987 2651,189702,1731
Grenåvej,55,4572,Risskov,4581,10.218878251485876,Grenåvej,53,8240,Denmark,0,COWI,56.19774431284465,56.19371107014121,8240,0,Risskov,383,MAJOR_ROAD,10.228593618385275,190744,Denmark,813,AAR_BT_0291 4572 4581,192392,1790
Holmstrupgårdvej,91,4337,Aarhus,4336,10.12084169080731,Holmstrupgårdvej,40,8210,Denmark,28,COWI,56.169454614092764,56.178402535294865,8220,150,Aarhus,436,MAJOR_ROAD,10.11966875826647,195041,Denmark,1015,AAR_BT_0356 4337 4336,229156,1843
Edwin Rahrs Vej,93,4331,Aarhus,2655,10.1515794551907,Åby Ringvej,42,8210,Denmark,6B,COWI,56.162574351819416,56.167867187555736,8220,6B,Aarhus,455,MAJOR_ROAD,10.139154364418005,195552,Denmark,1090,AAR_BT_0375 4331 2655,229194,1862
Edwin Rahrs Vej,127,4328,Aarhus,4345,10.093612498182324,Anelystvej,45,8381,Denmark,0,COWI,56.15962240514419,56.16718933444926,8220,35,Tilst,470,MAJOR_ROAD,10.077223474868788,197274,Denmark,1572,AAR_BT_0390 4328 4345,229224,1877
Skanderborgvej,72,4373,Aarhus,4566,10.174677478504236,Christian X's Vej,41,8260,Denmark,106,COWI,56.13844851575673,56.13241046310714,8260,35,Aarhus,594,MAJOR_ROAD,10.179150601188667,209827,Denmark,829,AAR_BT_0514 4373 4566,229653,2001
Randersvej,210,4361,Aarhus,4564,10.216211542327983,Vejlby Centervej,39,8240,Denmark,0,COWI,56.18950967440927,56.19677547153966,8200,7,Risskov,604,MAJOR_ROAD,10.190940219574031,210093,Denmark,2279,AAR_BT_0526 4361 4564,229673,2011
Viby Ringvej,137,2652,Aarhus,3988,10.177203408737114,Haveforening Af 1918,53,8000,Denmark,104,COWI,56.1404960893661,56.13953206657349,8230,4,Aarhus,317,MAJOR_ROAD,10.154132957008414,187324,Denmark,2013,AAR_BT_0224 2652 3988,189688,1724
Vestre Ringgade,64,3193,Aarhus,3156,10.187763760747885,Viborgvej,41,8000,Denmark,53,COWI,56.163969409207326,56.159418709313904,8210,14,Aarhus,341,MAJOR_ROAD,10.185844404928275,187960,Denmark,737,AAR_BT_0248 3193 3156,189736,1748
Viborgvej,74,4335,Tilst,4347,10.096344851520598,Viborgvej,54,8381,Denmark,389,COWI,56.182637286706964,56.18546282170713,8381,389,Tilst,426,MAJOR_ROAD,10.113531440475526,193348,Denmark,1110,AAR_BT_0346 4335 4347,229136,1833
Viborgvej,73,4335,Tilst,4342,10.130153804893553,Viborgvej,54,8210,Denmark,389,COWI,56.182637286706964,56.17941549701764,8381,295,Aarhus,427,MAJOR_ROAD,10.113531440475526,193376,Denmark,1093,AAR_BT_0347 4335 4342,229138,1834
Christian X's Vej,71,4566,Aarhus,4373,10.179336344162948,Skanderborgvej,39,8260,Denmark,35,COWI,56.13241046310714,56.138322977998705,8260,107,Aarhus,593,MAJOR_ROAD,10.174677478504236,209801,Denmark,773,AAR_BT_0513 4566 4373,229651,2000
Lystrupvej,94,4346,Lystrup,4327,10.246299305557386,Djurslandmotorvejen,52,8520,Denmark,201,COWI,56.21728389714838,56.22521120818609,8520,201,Lystrup,595,MAJOR_ROAD,10.233619432540877,209854,Denmark,1358,AAR_BT_0515 4346 4327,229655,2002
Djurslandmotorvejen,118,4327,Lystrup,4346,10.233619432540877,Lystrupvej,49,8520,Denmark,0,COWI,56.22537224883195,56.21728389714838,8520,201,Lystrup,596,MAJOR_ROAD,10.246154466270468,209880,Denmark,1595,AAR_BT_0516 4327 4346,229657,2003
Vejlby Centervej,226,4564,Risskov,4361,10.191119927578029,Randersvej,36,8200,Denmark,7,COWI,56.196878435033454,56.18958131478287,8240,210,Aarhus,603,MAJOR_ROAD,10.216251775463206,210067,Denmark,2270,AAR_BT_0525 4564 4361,229671,2010
Søftenvej,79,4349,Aarhus,4364,10.13978019262504,Søftenvej,71,8200,Denmark,0,COWI,56.20869704245814,56.21508593264829,8200,0,Aarhus,180,MAJOR_ROAD,10.161186577298167,158924,Denmark,1555,AAR_BT_0021 4349 4364,161115,1587
Åby Ringvej,101,2654,Aarhus,2653,10.149694601188685,Viby Ringvej,52,8230,Denmark,0,COWI,56.1601908856982,56.148158423711955,8230,0,Aarhus,225,MAJOR_ROAD,10.143257948409996,180601,Denmark,1462,AAR_BT_0132 2654 2653,182198,1632
Nordre Ringgade,43,3191,Aarhus,3192,10.194338714120931,Vestre Ringgade,40,8200,Denmark,3,COWI,56.17122707649042,56.16945046812791,8000,61,Aarhus,235,MAJOR_ROAD,10.201380373016264,180872,Denmark,481,AAR_BT_0142 3191 3192,182218,1642
Nørreport,58,4374,Aarhus,3187,10.215389695770227,Kystvejen,23,8000,Denmark,93,COWI,56.161017815103236,56.161597269074186,8000,59,Aarhus,357,MAJOR_ROAD,10.21197608217426,190047,Denmark,366,AAR_BT_0264 4374 3187,192340,1764
Grenåvej,244,4357,Ega,4341,10.303667644180337,Grenåvej,46,8541,Denmark,534,COWI,56.229971546821645,56.25625595964834,8250,0,Skødstrup,370,MAJOR_ROAD,10.293955058860774,190393,Denmark,3115,AAR_BT_0278 4357 4341,192366,1777
Randersvej,80,4361,Aarhus,4362,10.182444749668093,Randersvej,54,8200,Denmark,210,COWI,56.18958131478287,56.19922307868954,8200,210,Aarhus,398,MAJOR_ROAD,10.191119927578029,192600,Denmark,1204,AAR_BT_0314 4361 4362,229080,1805
Vestre Strandalle,89,4351,Risskov,2661,10.212341355819717,Vejlby Ringvej,31,8240,Denmark,70A,COWI,56.190387445286476,56.187071255964284,8240,70A,Risskov,401,MAJOR_ROAD,10.223110775463056,192681,Denmark,763,AAR_BT_0317 4351 2661,229086,1808
Grenåvej,76,4572,Risskov,4564,10.216251775463206,Vejlby Centervej,40,8240,Denmark,0,COWI,56.19774431284465,56.196878435033454,8240,7,Risskov,414,MAJOR_ROAD,10.228593618385275,193026,Denmark,854,AAR_BT_0334 4572 4564,229112,1821
